C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0007364079,0002496560                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0007364091,0002496574                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0007364143,0002496660                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0007364321,0002496724                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0007364630,0002496779                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0007364808,0002496820                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0007364857,0002496828                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0007364861,0002496833                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0007364905,0002496882                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0007365062,0002496935                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0007365256,0002496989                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0007365408,0002497006                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0007365427,0002497019                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0007365437,0002497061                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0007365579,0002497329                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0007365773,0002497396                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0007366404,0002497538                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0007366662,0002497572                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0007366695,0002497580                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0007366709,0002497617                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0007366841,0002497888                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0007367048,0002497967                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,19:00:00,REGULAR,0007367647,0002498067                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/04/2020,23:00:00,REGULAR,0007367905,0002498110                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,03:00:00,REGULAR,0007367933,0002498118                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,07:00:00,REGULAR,0007367943,0002498150                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,11:00:00,REGULAR,0007368075,0002498413                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,15:00:00,REGULAR,0007368270,0002498497                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,19:00:00,REGULAR,0007368887,0002498640                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/05/2020,23:00:00,REGULAR,0007369134,0002498685                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,03:00:00,REGULAR,0007369160,0002498694                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,07:00:00,REGULAR,0007369171,0002498743                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,11:00:00,REGULAR,0007369285,0002498990                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,15:00:00,REGULAR,0007369506,0002499085                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,19:00:00,REGULAR,0007370159,0002499172                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2020,23:00:00,REGULAR,0007370400,0002499208                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,03:00:00,REGULAR,0007370431,0002499218                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,07:00:00,REGULAR,0007370442,0002499242                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,11:00:00,REGULAR,0007370576,0002499493                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,15:00:00,REGULAR,0007370816,0002499571                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,19:00:00,REGULAR,0007371503,0002499650                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/07/2020,23:00:00,REGULAR,0007371746,0002499703                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0006542873,0001471344                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0006542884,0001471354                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0006542942,0001471404                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0006543155,0001471461                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0006543471,0001471511                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0006543683,0001471535                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0006543734,0001471541                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0006543744,0001471544                                            
